Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Onur ps5,NFCDCH-02-J2L56QYH29T4KPMJCPEFRLVMGQMFUF,Chrome PC (Cadmium),2022-03-10T06:04:52.472,2022-03-13T02:46:28.044,2022-03-10T06:04:52.472,2022-03-13T02:46:28.044,2022-03-10T06:04:52.472,2022-03-13T02:46:28.044,2022-03-10T06:04:52.472,2022-03-13T02:46:28.044,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-02-IPHONE12=1-WV75VWHNY4VA4FPB2DIT3RXHL3YIUCWCR2X4JDO5TOWWRQ3TNWLA,Apple iPhone 11,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-HWHMGMWKJMWT5YP0KEF6C70QHGKNH0,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFANDROID1-PRV-P-L3-HUAWEBLA-L09-8158-08E262713A817B878B3802F17B4BEA35463F97066CA143F56C08409E44C50F434,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-053C3128A39781D93A987C602C3239B885B2FEE4D92C674352B787B8E73078625,Android DefaultWidevineL3Phone Android Phone,2021-12-12T18:46:20.324,2021-12-12T18:46:20.324,2021-12-12T18:46:20.324,2021-12-12T18:46:20.324,2021-12-12T18:46:20.324,2021-12-12T18:46:20.324,2021-12-12T18:46:20.324,2021-12-12T18:46:20.324,1970-01-01T00:00:00.000
thanks bro,NFCDCH-02-JRLYMCEE7NQ53M0K11KR1GV4R0W2M2,Chrome PC (Cadmium),2022-12-02T13:16:10.806,2023-12-11T13:13:12.764,2022-12-03T15:38:48.183,2023-12-11T13:13:12.764,2022-12-02T13:16:10.806,2023-12-11T13:13:12.764,2022-12-03T15:38:48.183,2023-12-11T13:13:12.764,
thanks bro,NFANDROID1-PRV-P-HUAWEBLA-L09-7440-5A3EF2D1D653B0192131B75E78BC6DF0E49BFEDF79BA65E6724B54A4E289412C,DefaultWidevineAndroidPhone,2022-10-07T19:29:28.526,2023-12-11T00:13:27.552,2022-10-07T19:29:28.526,2023-12-11T00:13:27.552,2022-10-07T19:29:28.526,2023-12-11T00:13:27.552,2022-10-07T19:29:28.526,2023-12-11T00:13:27.552,
nergiz,NFAPPL-01-IPAD5=3-0DDB908CEF28654CB6B03CCD4ADCB621CB1F8602F11A91F5302FFD8025B97A82,iPad Air 2 WiFi,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,
eren,NFCDCH-02-KQCCA1MRVPJ6MWMN4T1DNPLDFLX5TN,Chrome PC (Cadmium),2023-12-10T12:50:22.348,2023-12-10T15:56:02.316,2023-12-10T15:26:05.361,2023-12-10T15:26:22.408,2023-12-10T12:50:22.348,2023-12-10T15:56:02.316,2023-12-10T15:26:05.361,2023-12-10T15:26:22.408,
eren,NFUWA-001-95E879AFAED77BCCC97C1AFAC440BAAB2FBDC60C707E951F3E728DFC47027B46,Netflix Windows App - Cadmium Windows Mobile,2021-09-23T19:43:54.755,2023-12-10T12:49:35.864,2022-08-20T10:33:13.587,2023-07-29T10:01:06.439,2021-09-23T19:43:54.755,2023-12-10T12:49:35.864,2022-08-20T10:33:13.587,2023-07-29T10:01:06.439,
