Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Onur ps5,Trailer: A Boy Called Christmas,Chrome PC (Cadmium),2023-11-24 20:31:05,TR,"[{""eventType"":""start"",""sessionOffsetMs"":10,""mediaOffsetMs"":20},{""eventType"":""playing"",""sessionOffsetMs"":706,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":770,""mediaOffsetMs"":20}]"
Onur ps5,Shrek - CLM 3,Chrome PC (Cadmium),2023-11-24 20:31:04,TR,"[{""eventType"":""start"",""sessionOffsetMs"":18,""mediaOffsetMs"":177},{""eventType"":""stopped"",""sessionOffsetMs"":592,""mediaOffsetMs"":177}]"
Onur ps5,Shrek - CLM 3,Chrome PC (Cadmium),2023-11-24 20:31:01,TR,"[{""eventType"":""start"",""sessionOffsetMs"":7,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1001,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1376,""mediaOffsetMs"":177}]"
Onur ps5,Cloudy with a Chance of Meatballs_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:31:00,TR,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":2},{""eventType"":""playing"",""sessionOffsetMs"":604,""mediaOffsetMs"":2},{""eventType"":""stopped"",""sessionOffsetMs"":795,""mediaOffsetMs"":95}]"
Onur ps5,The Holiday_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:30:53,TR,"[{""eventType"":""start"",""sessionOffsetMs"":13,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":515,""mediaOffsetMs"":0}]"
Onur ps5,TUDOBEMNONATALQUEVEM_CLIP_GENRE,Chrome PC (Cadmium),2023-11-24 20:30:45,TR,"[{""eventType"":""start"",""sessionOffsetMs"":14,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":755,""mediaOffsetMs"":0}]"
Onur ps5,Eurovision Song Contest: The Story of Fire Saga PVS Clip 5,Chrome PC (Cadmium),2023-11-24 20:30:41,TR,"[{""eventType"":""start"",""sessionOffsetMs"":21,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":361,""mediaOffsetMs"":null}]"
Onur ps5,Work It PVS Trailer A,Chrome PC (Cadmium),2023-11-24 20:30:38,TR,"[{""eventType"":""start"",""sessionOffsetMs"":19,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":720,""mediaOffsetMs"":0}]"
Onur ps5,Trailer 2: A Castle For Christmas,Chrome PC (Cadmium),2023-11-24 20:30:34,TR,"[{""eventType"":""start"",""sessionOffsetMs"":12,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":527,""mediaOffsetMs"":20}]"
Onur ps5,Trailer 2: A Castle For Christmas,Chrome PC (Cadmium),2023-11-24 20:30:32,TR,"[{""eventType"":""start"",""sessionOffsetMs"":40,""mediaOffsetMs"":20},{""eventType"":""playing"",""sessionOffsetMs"":578,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":968,""mediaOffsetMs"":337}]"
Onur ps5,Supporting Character Clip: Me Time,Chrome PC (Cadmium),2023-11-24 20:30:31,TR,"[{""eventType"":""start"",""sessionOffsetMs"":16,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":731,""mediaOffsetMs"":0}]"
Onur ps5,Trailer: Dolemite Is My Name,Chrome PC (Cadmium),2023-11-24 20:30:30,TR,"[{""eventType"":""start"",""sessionOffsetMs"":16,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":463,""mediaOffsetMs"":0}]"
Onur ps5,Mahalleden Arkadaslar_hook_05_16x9,Chrome PC (Cadmium),2023-11-24 20:30:25,TR,"[{""eventType"":""start"",""sessionOffsetMs"":24,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":853,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4330,""mediaOffsetMs"":3182}]"
Onur ps5,Zero to Hero_hook_02_16x9,Chrome PC (Cadmium),2023-11-24 20:30:12,TR,"[{""eventType"":""start"",""sessionOffsetMs"":5,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1252,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3191,""mediaOffsetMs"":1864},{""eventType"":""stopped"",""sessionOffsetMs"":3425,""mediaOffsetMs"":1890}]"
Onur ps5,Trailer: Holidate,Chrome PC (Cadmium),2023-11-24 20:29:52,TR,"[{""eventType"":""start"",""sessionOffsetMs"":10,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":888,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2584,""mediaOffsetMs"":1559}]"
Onur ps5,Kuch Kuch Hota Hai_hook_01_16x9,Chrome PC (Cadmium),2023-11-24 20:29:50,TR,"[{""eventType"":""start"",""sessionOffsetMs"":19,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":861,""mediaOffsetMs"":0}]"
Onur ps5,Trailer 2: A Castle For Christmas,Chrome PC (Cadmium),2023-11-24 20:29:38,TR,"[{""eventType"":""start"",""sessionOffsetMs"":20,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":518,""mediaOffsetMs"":20}]"
